Название товара,Цена,Оценка,Кол-во оценок,Издательство,Серия,Автор,Переплет,Кол-во страниц,Год издания,Размеры,Вес,Раздел_Unknown,Раздел_Авантюрно-приключенческий роман,Раздел_Боевое фэнтези,Раздел_Вестерны,Раздел_Героическая фантастика,Раздел_Героическое фэнтези,Раздел_Графические романы,Раздел_Детективы,Раздел_Журналистские расследования,Раздел_Зарубежная драматургия,Раздел_Зарубежная сентиментальная проза,Раздел_Зарубежная фантастика,Раздел_Зарубежное фэнтези,Раздел_Зарубежные детективы,Раздел_Зарубежные любовные романы,Раздел_Зарубежные приключения,Раздел_Зарубежный фольклор,Раздел_Интеллектуальная проза,Раздел_Историческая проза,Раздел_Исторические детективы,Раздел_Исторические любовные романы,Раздел_Кино и книги,Раздел_Классическая зарубежная литература,Раздел_Классическая поэзия,Раздел_Классическая русская литература,Раздел_Классические детективы,Раздел_Книги на английском языке,Раздел_Комиксы для детей,Раздел_Космическая фантастика,Раздел_Криминальные боевики,Раздел_Культурология. Искусствоведение,Раздел_Любовное фэнтези,Раздел_Любовный роман,Раздел_Манга,Раздел_Мифы и легенды,Раздел_Научная фантастика,Раздел_Национальные кухни,Раздел_Остросюжетные любовные романы,Раздел_Поэзия,Раздел_Русская драматургия,Раздел_Русская сентиментальная проза,Раздел_Русские детективы,Раздел_Русский фольклор,Раздел_Русское фэнтези,Раздел_Сказки и притчи,Раздел_Современная зарубежная проза,Раздел_Современная русская проза,Раздел_Современные детективы,Раздел_Современные любовные романы,Раздел_Социальная фантастика,Раздел_Триллеры,Раздел_Ужасы. Мистика,Раздел_Фантастика и фэнтези для подростков,Раздел_Эпос и фольклор другие издания
1,0.2073455759599332,0.9300000000000002,0.0014930555555555,2,1,1,2,544,2024,251.25,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0968280467445742,0.94,0.0085763888888888,1,1,1,2,352,2024,207.0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.2387312186978297,0.99,0.0017708333333333,2,1,1,1,544,2024,263.68,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2457429048414023,0.98,0.0045486111111111,7,0,1,1,448,2021,311.74,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.3789649415692822,0.9300000000000002,0.0101388888888888,7,1,1,1,480,2024,360.0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.2327212020033389,0.92,0.0020486111111111,3,1,1,1,200,2024,287.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2327212020033389,0.0,0.0,3,1,1,1,384,2024,311.75,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.128881469115192,0.95,0.0902777777777777,1,1,1,2,544,2024,207.0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.4020033388981636,0.0,0.0,2,1,1,1,216,2024,322.24,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1055091819699499,0.98,0.0152430555555555,1,1,1,2,416,2023,207.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0968280467445742,0.0,0.0,1,1,1,2,480,2024,207.0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0938230383973288,0.91,0.0018055555555555,1,1,1,2,384,2024,207.0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
